layer,max_bond_chi,fidelity_with_zero,circuit_depth,circuit_size
8.200000000000000000e+01,6.000000000000000000e+00,9.803020806358506700e-01,1.720000000000000000e+02,6.640000000000000000e+02
8.300000000000000000e+01,5.000000000000000000e+00,9.846576122565570133e-01,1.740000000000000000e+02,6.720000000000000000e+02
8.400000000000000000e+01,4.000000000000000000e+00,9.944381190123899872e-01,1.760000000000000000e+02,6.800000000000000000e+02
8.500000000000000000e+01,4.000000000000000000e+00,9.910121838603097588e-01,1.780000000000000000e+02,6.880000000000000000e+02
8.600000000000000000e+01,3.000000000000000000e+00,9.955522839623045517e-01,1.800000000000000000e+02,6.960000000000000000e+02
8.700000000000000000e+01,3.000000000000000000e+00,9.950922951165890318e-01,1.820000000000000000e+02,7.040000000000000000e+02
8.800000000000000000e+01,3.000000000000000000e+00,9.924586235838854797e-01,1.840000000000000000e+02,7.120000000000000000e+02
8.900000000000000000e+01,2.000000000000000000e+00,9.970957743465652667e-01,1.860000000000000000e+02,7.200000000000000000e+02
9.000000000000000000e+01,3.000000000000000000e+00,9.791963052931789147e-01,1.880000000000000000e+02,7.280000000000000000e+02
9.100000000000000000e+01,2.000000000000000000e+00,9.978625324772185667e-01,1.900000000000000000e+02,7.360000000000000000e+02
9.200000000000000000e+01,2.000000000000000000e+00,9.902078105332910996e-01,1.920000000000000000e+02,7.440000000000000000e+02
9.300000000000000000e+01,1.000000000000000000e+00,9.981217600905885057e-01,1.940000000000000000e+02,7.520000000000000000e+02
9.400000000000000000e+01,2.000000000000000000e+00,9.864753576835382232e-01,1.960000000000000000e+02,7.600000000000000000e+02
9.500000000000000000e+01,1.000000000000000000e+00,9.986618856966607005e-01,1.980000000000000000e+02,7.680000000000000000e+02
9.600000000000000000e+01,2.000000000000000000e+00,9.977239065392398132e-01,2.000000000000000000e+02,7.760000000000000000e+02
9.700000000000000000e+01,1.000000000000000000e+00,9.988778965991939041e-01,2.020000000000000000e+02,7.840000000000000000e+02
9.800000000000000000e+01,1.000000000000000000e+00,9.969081886643874624e-01,2.040000000000000000e+02,7.920000000000000000e+02
9.900000000000000000e+01,2.000000000000000000e+00,9.913938469854580715e-01,2.060000000000000000e+02,8.000000000000000000e+02
1.000000000000000000e+02,1.000000000000000000e+00,9.992359288099165182e-01,2.080000000000000000e+02,8.080000000000000000e+02
